ID,Y1,Type,Deets,Details,Start,Stop,Strand,PCG_ORF
Ffra,4,PacBio,PacBio,PacBio,1,22357,,
Ffra,4.3,PCG,ATP8,ATP8,48,179,F,1
Ffra,4.3,PCG,ND4,ND4,172,1497,F,1
Ffra,4.3,PCG,ND6,ND6,2427,2912,F,1
Ffra,4.3,PCG,COX3,COX3,2944,3792,F,1
Ffra,4.3,PCG,CYTB,CYTB,3962,5158,F,1
Ffra,4.3,PCG,ND1,ND1,6513,7466,F,1
Ffra,4.3,PCG,COX1,COX1,14948,16558,F,1
Ffra,4.3,PCG,ATP6,ATP6,16618,17421,F,1
Ffra,4.3,PCG,COX2,COX2,17562,18428,F,1
Ffra,4.3,PCG,ND3,ND3,18443,18874,F,1
Ffra,4.3,PCG,ND5,ND5,18916,20634,F,1
Ffra,4.3,PCG,ND2,ND2,21076,22074,F,1
Ffra,4.3,rRNA,rrnL,rrnL,5177,6454,F,
Ffra,4.3,rRNA,rrnS,rrnS,1498,2429,F,
Ffra,4.3,PCG,ND4L,ND4L,20703,21080,F,1
Ffra,3,Illimina,Illimina,Illimina,1,8067,,
Ffra,3,Illimina,Illimina,Illimina,14705,22357,,
Ffra,3,TR,TR,TR,8087,8666,,
Ffra,3,TR,TR,TR,8666,9245,,
Ffra,3,TR,TR,TR,9245,9824,,
Ffra,3,TR,TR,TR,9824,10403,,
Ffra,3,TR,TR,TR,10403,10982,,
Ffra,3,TR,TR,TR,10982,11561,,
Ffra,3,TR,TR,TR,11561,12140,,
Ffra,3,TR,TR,TR,12140,12719,,
Ffra,3,TR,TR,TR,12719,13298,,
Ffra,3,TR,TR,TR,13298,13877,,
Ffra,3,TR,TR,TR,13877,14456,,
Ffra,3,TR,TR,TR,14456,14704,,
Ffra,4.3,tRNA,tRNA,trnF,1,65,,
Ffra,4.3,tRNA,tRNA,trnT,2897,2958,,
Ffra,4.3,tRNA,tRNA,trnM,3788,3852,,
Ffra,4.3,tRNA,tRNA,trnE,3853,3919,,
Ffra,4.3,tRNA,tRNA,trnS,3917,3983,,
